ID,Arquitectura,Activación,Optimizador,Batch_Size,Lambda,Eta,Loss_Final_Entrenamiento,Loss_Final_Predicción,Dropout_Rate
1,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.0,0.001,0.0018911658633494661,0.0016307742841012757,0.0
4,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.0,0.1,0.0012262768061081391,0.0009682442731937459,0.0
7,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.01,0.001,0.28796217759948867,0.274079845274975,0.0
10,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.01,0.1,0.29065777296695133,0.27981836212400285,0.0
13,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.1,0.001,0.6132324356347014,0.713471099282975,0.0
16,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.1,0.1,0.6156416928995873,0.7157405168915557,0.0
17,"[3, 32, 32, 16, 1]",relu,AdamW,10,0.1,0.1,0.6140655543771746,0.7141312451420025,0.2
19,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.0,0.001,0.0020777408691431535,0.0017695296259708905,0.0
25,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.01,0.001,0.2877648847611613,0.2735152142802575,0.0
28,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.01,0.1,0.2879565991307106,0.27540029321500437,0.0
31,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.1,0.001,0.6132348080249322,0.7135974765810114,0.0
34,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.1,0.1,0.6135801419637695,0.7137336274312369,0.0
35,"[3, 32, 32, 16, 1]",relu,AdamW,20,0.1,0.1,0.6137179594082235,0.7138673915244153,0.2
37,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.0,0.001,0.0023078152250310575,0.001968905420803598,0.0
40,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.0,0.1,0.0008262385337103576,0.0007237688535536802,0.0
43,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.01,0.001,0.2938291932648415,0.29437362584288507,0.0
46,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.01,0.1,0.2957539578698335,0.29764816440233627,0.0
49,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.1,0.001,0.6170385895633068,0.7138025418604877,0.0
52,"[3, 32, 32, 16, 1]",relu,AdamW,30,0.1,0.1,0.6175035206205002,0.713879385633144,0.0
55,"[3, 128, 64, 16, 1]",relu,AdamW,10,0.0,0.001,0.003356904603030132,0.002532310929672792,0.0
61,"[3, 128, 64, 16, 1]",relu,AdamW,10,0.01,0.001,0.2882538531008968,0.2743477898335316,0.0
64,"[3, 128, 64, 16, 1]",relu,AdamW,10,0.01,0.1,0.2917382874332358,0.2812499329277679,0.0
67,"[3, 128, 64, 16, 1]",relu,AdamW,10,0.1,0.001,0.613444022073346,0.7145267109588055,0.0
70,"[3, 128, 64, 16, 1]",relu,AdamW,10,0.1,0.1,0.6170440543577164,0.7171264168763563,0.0
73,"[3, 128, 64, 16, 1]",relu,AdamW,20,0.0,0.001,0.005245876774156631,0.003727705511680754,0.0
82,"[3, 128, 64, 16, 1]",relu,AdamW,20,0.01,0.1,0.2881221823544895,0.27595274995813246,0.0
85,"[3, 128, 64, 16, 1]",relu,AdamW,20,0.1,0.001,0.6177118981970782,0.7202220318334998,0.0
88,"[3, 128, 64, 16, 1]",relu,AdamW,20,0.1,0.1,0.613261908866729,0.7134097234121647,0.0
91,"[3, 128, 64, 16, 1]",relu,AdamW,30,0.0,0.001,0.006963122286494778,0.005239253070694296,0.0
97,"[3, 128, 64, 16, 1]",relu,AdamW,30,0.01,0.001,0.29526494146740767,0.2961440722662958,0.0
100,"[3, 128, 64, 16, 1]",relu,AdamW,30,0.01,0.1,0.29560719380157396,0.29791407136563763,0.0
103,"[3, 128, 64, 16, 1]",relu,AdamW,30,0.1,0.001,0.6306199430316437,0.7283462015141596,0.0
109,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.0,0.001,0.0036279086253927827,0.0047002992557531225,0.0
112,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.0,0.1,0.0013303781410332048,0.0011610808781530512,0.0
115,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.01,0.001,0.28162180207449494,0.26755497176670134,0.0
118,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.01,0.1,0.2729661119864325,0.2648239437160339,0.0
121,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.1,0.001,0.6134420821495455,0.7145124396598826,0.0
124,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.1,0.1,0.6147332742255883,0.7147735768466292,0.0
125,"[3, 16, 32, 64, 16, 1]",swish,AdamW,10,0.1,0.1,0.61602877048949,0.7160319097148148,0.2
127,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.0,0.001,0.0036096818353740508,0.002969791232795535,0.0
133,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.01,0.001,0.28961611105949847,0.27287309539648064,0.0
136,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.01,0.1,0.26946528146515863,0.2599746899156186,0.0
139,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.1,0.001,0.6167578456126008,0.7202013115291508,0.0
142,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.1,0.1,0.6132377369332466,0.7133879889160314,0.0
143,"[3, 16, 32, 64, 16, 1]",swish,AdamW,20,0.1,0.1,0.613327845128367,0.7134794263824452,0.2
145,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.0,0.001,0.004088493399209116,0.0031940749875121657,0.0
151,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.01,0.001,0.29641586386915486,0.2925034766425578,0.0
154,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.01,0.1,0.2742617281884133,0.2749537775367566,0.0
157,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.1,0.001,0.6176917498429743,0.7194551782520056,0.0
160,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.1,0.1,0.6173920505803951,0.7137777739707228,0.0
161,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.1,0.1,0.6175197084660883,0.7139006508295538,0.2
162,"[3, 16, 32, 64, 16, 1]",swish,AdamW,30,0.1,0.1,0.6177230034985487,0.7141126317780061,0.5
163,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.0,0.001,0.0021596198264373753,0.001806630600114311,0.0
169,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.01,0.001,0.2846504348696913,0.2699545693247254,0.0
172,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.01,0.1,0.27233579723345663,0.26394000986578353,0.0
175,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.1,0.001,0.6134512626005977,0.7145401428410306,0.0
178,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.1,0.1,0.6152729515818055,0.7153591874748455,0.0
179,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.1,0.1,0.6151983466923571,0.7152869104830897,0.2
181,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.0,0.001,0.0030221467914342457,0.0023078160578854983,0.0
187,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.01,0.001,0.287968461684129,0.27265278963372186,0.0
190,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.01,0.1,0.5205123461094359,0.5998895353921915,0.0
193,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.001,0.6164778273399053,0.720024369602756,0.0
196,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6132599872951969,0.7134110937065736,0.0
197,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6134010101231215,0.7135604388274027,0.2
198,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6132695088508208,0.7134199389111588,0.5
199,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.0,0.001,0.0037868826931968993,0.0029671423634077933,0.0
205,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.01,0.001,0.2994541137548284,0.2961712688039692,0.0
208,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.01,0.1,0.5215818875913657,0.6039377192344868,0.0
211,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.001,0.6175092293959844,0.7194060493894725,0.0
214,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.1,0.6173968015484741,0.7137823245317408,0.0
215,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.1,0.6178174413650598,0.7142109942462416,0.2
